title,description,genre,type,poster_url,predicted_emotions,tone_tags
Alexandria ... Why?,"Living in Alexandria during World War II, an Egyptian teen enamored with American films dreams of making it in Hollywood.","Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/k68nAl2BJpX9405UCqs4Xhw2S7n.jpg,"['desire', 'neutral']",[]
Alexandria: Again and Forever,"At the peak of his career, Yehia joins a hunger strike, becomes smitten and reckons with a creative crisis â but finds a new muse.","Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/7wqemqzSbsjKGSzvTijcpuTJbr3.jpg,['neutral'],[]
An Egyptian Story,"While undergoing heart surgery in London, Yehia reflects on his life as his heart chamber becomes a courtroom where he's tried for his mistakes.","Classic Movies, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/z0zDBvwtKA34DKFu4TAaeOt5fWS.jpg,['neutral'],[]
Cairo Station,A Cairo newsstand vendor's fantasies morph into a dangerous fixation with a lemonade seller as a serial killer begins terrorizing the city.,"Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/zm8ET6PSfPT6pozgvjR7htaZFjy.jpg,['neutral'],[]
Dark Waters,"A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling.","Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/bzvzaHqKBSuGIIWhinTQPHvT0zf.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
El lÃ­mite infinito,"From early struggles to his climb up the Himalayas, Jean Maggi gets profiled in this documentary that highlights his advancement of adaptive sports.","Documentaries, International Movies, Sports Movies",Movie,,"['admiration', 'neutral']",[]
Lola Igna,An elderly woman finds her life disrupted when her family and village realize she has a chance at a world record for being the oldest grandmother alive.,"Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/qy5j4KSO5yMX2ZzDA1LarDy87x8.jpg,['realization'],[]
One Take,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,"Documentaries, International Movies, Music & Musicals",Movie,https://image.tmdb.org/t/p/w500/cfyFwWnWLPAWmdwqNFkpjC8ZXvr.jpg,"['approval', 'realization']",[]
Saladin,The Sultan of Egypt and Syria launches a campaign to retake Jerusalem amid the Crusades.,"Action & Adventure, Classic Movies, Dramas",Movie,https://image.tmdb.org/t/p/w500/gnXGsiQbh6puVn50L81QtNj2uSX.jpg,['neutral'],[]
Stray Bullet,"In 1976 Beirut, after a rendezvous with her old flame, soon-to-wed Noha witnesses a violent incident and changes course on a path to self-realization.","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/9EQjSc6pAih7QdBL4GT8CG4bQdM.jpg,"['realization', 'neutral']",[]
The Blazing Sun,Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,"Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/3mcTzfMcifuHhvU5QXwvsLunNHY.jpg,['neutral'],[]
The Land,A group of peasant farmers fights to protect their village against a corrupt landowner. Adapted from the popular novel by Abdel Rahman al-Sharqawi.,"Classic Movies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/iHf6bXPghWB6gT8kFkL1zo00x6X.jpg,['neutral'],[]
The Nut Job,"When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maury's Nut Shop to stock up for winter.","Children & Family Movies, Comedies",Movie,https://image.tmdb.org/t/p/w500/4iHnGlmOjAj2k5zUftYDIzSITCf.jpg,['neutral'],[]
The Order,"Out to avenge his mother's death, a college student pledges a secret order and lands in a war between werewolves and practitioners of dark magic.","International TV Shows, TV Dramas, TV Horror",TV Show,https://image.tmdb.org/t/p/w500/yMPjmuSd5Fac8YMNOwofGALQWjR.jpg,['neutral'],[]
An Evening with Beverly Luff Linn,"When an unhappily married woman discovers a man from her past has a role in a local theater production, she'll do anything to reconnect with him.","Comedies, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/aTrgVu1QIPXMMfFbO0zxNqzk63p.jpg,[],[]
Riding Faith,"Following her father's death, a young woman struggles to help her mother keep the family ranch afloat while preserving a special bond with her horse.","Children & Family Movies, Dramas, Faith & Spirituality",Movie,https://image.tmdb.org/t/p/w500/1KgMKPJxRxovVMoEm1eZlFlHyLn.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
Last Flight to Abuja,"When disaster strikes mid-flight, a commercial plane's frantic passengers confront their pasts and the possibility of death. Based on true events.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/tRNlNaObtbK2QDC2jEpOkkulzmh.jpg,['neutral'],[]
The Darkness,"After bringing home a set of mysterious stones from the Grand Canyon, a boy unleashes an ancient force that begins to terrorize his family.","Horror Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/7i7yuJoXCv12rQwYdSWcImhryrL.jpg,['fear'],[]
The Chase,"Brooke Burns hosts this game show in which three contestants square off to answer fast-paced questions against ""the Beast,"" a trivia know-it-all.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/rPg5T51DAHn7tANKgOVtMG5JQdN.jpg,['neutral'],[]
The Show Must Go On: The Queen + Adam Lambert Story,"With rare footage and candid interviews, this documentary details the serendipitous pairing of legendary rock band Queen and powerhouse Adam Lambert.","Documentaries, Music & Musicals",Movie,https://image.tmdb.org/t/p/w500/b2L91hIyRSpM59ArCCJk0U02XWv.jpg,['neutral'],[]
Underdogs,"When his archenemy returns to settle a score, a foosball ace and his magically incarnated team must save the town and woo back his girl.","Children & Family Movies, Sports Movies",Movie,https://image.tmdb.org/t/p/w500/bk5v11Ul6n33x2sX4xgsIM3hxF8.jpg,"['optimism', 'neutral']","['Uplifting', 'Redemptive']"
Wira,"After a long stint in the army, an ex-lieutenant returns home and enters an underground MMA match to take on a local mobster and protect his family.","Action & Adventure, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/7ujJmRqh3fZ8OqxOx7YoWWKFnpd.jpg,['neutral'],[]
4th Republic,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.","Dramas, International Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/vWOZja2aAmkHpNZHGYYzXqIGetU.jpg,['neutral'],[]
Alexa & Katie,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school â and ready for whatever comes next.","Kids' TV, TV Comedies",TV Show,https://image.tmdb.org/t/p/w500/aXNWQzzQ7yPSZMaWYA96NStN8DC.jpg,['neutral'],[]
Asura Guru,"For a tech-savvy thief, elaborate robberies and evading the police are second nature until a private detective is hired to investigate his latest heist.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/b4UnX4MjrtXcg9U338XEfIrWd9v.jpg,['neutral'],[]
How to Get Away with Murder,"Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case.","Crime TV Shows, TV Dramas, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/bJs8Y6T88NcgksxA8UaVl4YX8p8.jpg,['admiration'],[]
Milea,"Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/tRs5EYnviBBn79lQwGW2JLZp93v.jpg,"['realization', 'neutral']",[]
Axone,"In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors.","Comedies, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/tbj1Mu1XT4O684OtG1mQhWOIYq1.jpg,['neutral'],[]
Da 5 Bloods,Four African American veterans return to Vietnam decades after the war to find their squad leader's remains â and a stash of buried gold. From Spike Lee.,"Action & Adventure, Dramas",Movie,https://image.tmdb.org/t/p/w500/yx4cp1ljJMDSFeEex0Zjv45b55E.jpg,['neutral'],[]
Dating Around,"In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date.","Reality TV, Romantic TV Shows",TV Show,https://image.tmdb.org/t/p/w500/8Bylu6ne7GRLzdfKEDwWJNfZugP.jpg,['neutral'],[]
F is for Family,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",TV Comedies,TV Show,https://image.tmdb.org/t/p/w500/3gkdyR58Hm0gMkItqvyNz7zSTWH.jpg,['neutral'],[]
Frank Elstner: Just One Last Question,"In his farewell show, legendary German host Frank Elstner digs deep and savors his discussions with stars such as Daniel BrÃ¼hl and Lena Meyer-Landrut.","International TV Shows, Stand-Up Comedy & Talk Shows",TV Show,https://image.tmdb.org/t/p/w500/6vi0Op2Gg4Ewt3f7HyIjRoSGoa2.jpg,['neutral'],[]
Jo Koy: In His Elements,"Jo Koy brings the laughs and beats to Manila, spotlighting local culture in a one-of-a-kind show featuring Filipino American comedians, DJs and B-boys.",Stand-Up Comedy,Movie,https://image.tmdb.org/t/p/w500/zx7kOO45cNcE8ag5co9uzYRmUd3.jpg,['neutral'],[]
Okko's Inn,"After losing her parents, a young girl learns about grief and healing from a friendly ghost who lives in her grandmother's traditional Japanese inn.","Anime Features, Children & Family Movies",Movie,https://image.tmdb.org/t/p/w500/lcgulcTrJ70MrFVMpFAK5F1PyYP.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
ONE PIECE,Monkey D. Luffy sails with his crew of Straw Hat Pirates through the Grand Line to find the treasure One Piece and become the new king of the pirates.,Anime Series,TV Show,https://image.tmdb.org/t/p/w500/cMD9Ygz11zjJzAovURpO75Qg7rT.jpg,['neutral'],[]
The Search,"When a girl vanishes from a suburb near Mexico City, the personal goals of some involved in the case muddy the search. Based on a true story.","Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,https://image.tmdb.org/t/p/w500/jDP8XxQUJTTofJPkhFER3aBYDqR.jpg,['neutral'],[]
The Woods,Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/qcrbiVMOkAaOyha8BqyVDQCTwh6.jpg,['neutral'],[]
From A to B,"To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut.","Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/5UqT4a8ep7vI9D1XrucBYKV4CB8.jpg,['neutral'],[]
Menahi,"A stranger to civilian life, a young Saudi farmer travels to Dubai, where he experiences a series of hilarious misadventures.","Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/j96gdSTRzETeyk5wwPWfmp8N3ew.jpg,['neutral'],[]
Curon,"After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy.","International TV Shows, TV Dramas, TV Horror",TV Show,https://image.tmdb.org/t/p/w500/h7jcZ7GYv5KjIqN0qBNvwPO8LBQ.jpg,['neutral'],[]
DC's Legends of Tomorrow,"A mysterious ""time master"" from the future unites an unlikely group of superheroes and villains to save the world from a powerful evil.","TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show,https://image.tmdb.org/t/p/w500/qNgAcg4gNYbZ9mySLB9ZX4ehZb6.jpg,['neutral'],[]
Lenox Hill,Four doctors at New York's storied Lenox Hill Hospital balance their personal lives and their dedication to their patients in this documentary series.,"Docuseries, Reality TV, Science & Nature TV",TV Show,https://image.tmdb.org/t/p/w500/1MvaZ5WbRAqjhkiMGH3trRXcYgG.jpg,"['admiration', 'neutral']",[]
Middle Men,"An entrepreneur develops an adult entertainment online billing company â and winds up dealing with mobsters, the FBI, con men and terrorists.","Comedies, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/l56cv8FczzEk4pe3W8BHiRNCC05.jpg,['neutral'],[]
My Mister,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.","Crime TV Shows, International TV Shows, Korean TV Shows",TV Show,https://image.tmdb.org/t/p/w500/o5cBRMF6syh4yUBgZ2Ust8LvcxA.jpg,[],[]
Reality Z,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes.","International TV Shows, TV Horror, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/hpqLI8lq8u1biqZgdQomERkIsSC.jpg,['neutral'],[]
The Witch: Part 1 - The Subversion,The life of a seemingly ordinary high school student with a mysterious past is turned upside down when a group of strangers show up and wreak havoc.,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Movie,https://image.tmdb.org/t/p/w500/4i2wo2ja5g2PmUxWa1a2eYIboZf.jpg,['neutral'],[]
Before I Fall,"Forced to continually relive the day she dies in a car crash, a privileged high schooler must unravel the cosmic mystery of her suddenly looping life.","Dramas, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/eowzonDJMCuNXoJGVkP9Z7oCmiM.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
365 Days,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/iLmG3HCXVyqXYbFvUO1rfOeGa3Z.jpg,[],[]
Forensic,"A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.","International Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/bn2sQizEJ0qsntJRvjULsd5vk44.jpg,['neutral'],[]
Project Papa,"When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.","Dramas, Independent Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/oD5XyfWO9m7KaPxrjrTHinp0IZE.jpg,['neutral'],[]
Queen of the South,"Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal pal and a mysterious notebook to survive.","Crime TV Shows, TV Action & Adventure, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/rzdC5EHkkKJE6OPVdh6gT1pR1c9.jpg,"['sadness', 'neutral']","['Bittersweet', 'Melancholic']"
The Night Clerk,"After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift.","Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/hPWjid7yMatyIDHvku7lCMN7zSi.jpg,['neutral'],[]
13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.","Crime TV Shows, TV Dramas, TV Mysteries",TV Show,https://image.tmdb.org/t/p/w500/aauFzhjAGSemDpDBSmWDJpkeQiw.jpg,[],[]
Before the Summer Crowds,"Ahead of summer break, a couple heads to a seaside resort where intimate interactions with other villagers make for anything but a peaceful holiday.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/tt3UlNJGT1jvWFcQRaCBwPvdEi2.jpg,['neutral'],[]
Big Stone Gap,A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.,"Comedies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/zlmVnq87c3xZxz9NAsS5cDaPMES.jpg,"['sadness', 'neutral']","['Bittersweet', 'Melancholic']"
Choked: Paisa Bolta Hai,A bank employee weighed down by her jobless husband's debts â and her own broken dreams â finds a secret source of seemingly unlimited cash in her home.,"Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/1jqDl2cuBlOBfrbjEIJhqwQVZnR.jpg,['neutral'],[]
Merry Men 2: Another Mission,"To save a kidnapped loved one, a pack of wealthy men must return to their vigilante past when they are blackmailed to pull off a treacherous heist.","Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/fPrnMPhzv54U2IpdkT6avP1Ezck.jpg,[],[]
Queer Eye,"An all-new âFab Fiveâ advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/bBWNZ7cae2LXfTuQULsAAufPObs.jpg,['neutral'],[]
Supernatural,"Siblings Dean and Sam crisscross the country, investigating paranormal activity and picking fights with demons, ghosts and monsters.","Classic & Cult TV, TV Action & Adventure, TV Horror",TV Show,https://image.tmdb.org/t/p/w500/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg,"['approval', 'neutral']",[]
The Last Days of American Crime,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.","Action & Adventure, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/ygCQnDEqUEIamBpdQdDYnFfxvgM.jpg,['neutral'],[]
The Light of My Eyes,A composer hides his love for his formerly blind ex when she returns to Egypt engaged to his childhood friend â the doctor who restored her sight.,"Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/vEK8ygQtENw31dEZlFy8mKBzKTr.jpg,['neutral'],[]
BAKI,"While martial arts champion Baki Hanma trains hard to surpass his legendary father, five violent death row inmates descend upon Tokyo to take him on.","Anime Series, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/j4bL0G8h8k49MuXKYfZqhXqk2rI.jpg,['neutral'],[]
Hot Sweet Sour,"In love since childhood, a couple separates to pursue different paths but makes a pact to marry each other in five years if they are still single.","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/81kt2NES2LBx485Ftj63zEX6Aml.jpg,"['love', 'neutral']","['Wholesome', 'Warm Nostalgia']"
Overnight Republic,"A mayoral candidate wins office, promising to turn a small province into its own country as a war and wacky events with his wife and advisors ensue.","Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/yVQAN2mWVdwsvKFbvF3zS39bS7K.jpg,['neutral'],[]
Canât Complain,"Raised by a father to fraudulently act as one person, three identical brothers end up pining for the same woman as one triplet seeks psychiatric help.","Comedies, International Movies, Romantic Movies",Movie,,['neutral'],[]
Lady Bird,"An intrepid high schooler in Sacramento undergoes the trials of love, family and self-discovery as she dreams of escaping to college on the East Coast.","Comedies, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/gl66K7zRdtNYGrxyS2YDUP5ASZd.jpg,"['desire', 'neutral']",[]
Spelling the Dream,"Following four hopeful competitors, this documentary explores Indian Americans' decades-long success at the biggest spelling contest in the U.S.","Children & Family Movies, Documentaries",Movie,https://image.tmdb.org/t/p/w500/piAOvsXc1gg7HrS0FYjPik7dVkl.jpg,[],[]
Alone,"Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive â or tap out.",Reality TV,TV Show,https://image.tmdb.org/t/p/w500/lkXD1W3pC64KXfZjHhHydd7DvNy.jpg,['neutral'],[]
Andaleeb El Dokki,"Aiming for fame, a struggling singer finds his long-lost millionaire twin and falls for his brother's secretary as a plot brews to steal the fortune.","Comedies, International Movies",Movie,,['neutral'],[]
Let's Dance,"Disillusioned with her humdrum routine, a married lawyer secretly enrolls in a dance school in this remake of the 1996 Japanese film âShall We Dance?â","Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/153DTtryq1NmTEa3gVtDZ1U7rvC.jpg,"['disappointment', 'neutral']",['Bittersweet']
Life's Speed Bump,"Seeking job opportunities, a young man arrives in Cairo and becomes increasingly involved with the family of a wealthy businessman.","Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/ra7F9sEmXUX8lhcI9iqlzNd4NvJ.jpg,['neutral'],[]
Mr. Romantic,"When a carefree man is left with his uncle's fortune, he can only receive the riches on one condition: he must settle down with a good woman.","Comedies, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/2s2IhvANWB7wSyMz12WORtshCdk.jpg,['neutral'],[]
My Horrible Grandma,"As a man fumbles to keep things in order, his assertive grandmother tries to straighten out his life when she returns to live with him.","Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/2tIgs4MC3TPH84srRjCfuVruw27.jpg,['neutral'],[]
Sorry To Disturb,"After losing his father, a genius yet troubled aviation engineer suffering from loneliness tackles a complex project: love.","Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/znF1co8wwkKozuKZZjGkt6LZWsr.jpg,"['love', 'sadness']","['Bittersweet', 'Wholesome', 'Warm Nostalgia', 'Melancholic']"
The Student Cop,"Sent undercover to investigate suspicious activity among a group of college students, a police officer gets more invested in his role than expected.","Action & Adventure, Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/pjNsgAwUZ2h1gvB8pEkCksxbwjV.jpg,['neutral'],[]
True: Rainbow Rescue,True and Bartleby travel to the other side of the Neverending Rainbow to bring back Dillydally â a brave explorer who's the Rainbow King's best friend!,Children & Family Movies,Movie,https://image.tmdb.org/t/p/w500/16i4BDnSDcF0o3SPsh4P8r2UguM.jpg,['neutral'],[]
What's Up?,"Flirting with modernity, a young woman must keep her new romance a secret from her conservative brother, who plans to keep her in line with tradition.","Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/x9ck3Y4J3XBXcLRVE0sUYhCQbxm.jpg,"['approval', 'neutral']",[]
X Large,"After he is rejected by the woman he loves and obesity-related issues kill his uncle, a lonely, overweight artist undergoes a major transformation.","Comedies, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/dBK3YVsY27F7VYWXdSrXqot947K.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
122,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape â before death finds them.","Horror Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/7Y5gnwYVSCnQ1Ne6vK2Mg2lm88k.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
Cardcaptor Sakura,"After a young girl breaks the seal of a magical book, releasing the spirits of the cards inside, she must become a ""Cardcaptor"" and retrieve them.","Anime Series, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/dj0uI34MOkZMTE233tfRebs0YYx.jpg,['neutral'],[]
Chippa,"At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father heâs never met, carrying a letter he canât read.","Comedies, Dramas, Independent Movies",Movie,https://image.tmdb.org/t/p/w500/h0EHHT2YopgVLosN380wV6FyY0P.jpg,['neutral'],[]
Cook Off,"Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show.","Comedies, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/ryivxK4tmBPUWPwQLUmuIkTC37e.jpg,"['admiration', 'desire']",[]
Dear My Friends,Life is ever-delightful â and ever-challenging â for a group of friends in their twilight years as they rediscover themselves through love and family.,"International TV Shows, Korean TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/bTQk4YZMESbHs3NlhBPBpcQp1Tn.jpg,"['admiration', 'approval']",[]
Kalek Shanab,"After a wild night of partying on the town, three buddies wake up to discover they've caused a whole mess of trouble â but can't remember how.","Comedies, International Movies",Movie,https://image.tmdb.org/t/p/w500/9sveKZynb3KTyfh5Wiu4ZNrqUL2.jpg,['realization'],[]
Megalobox,"Created for the 50th anniversary of manga ""Ashita No Joe,"" mechanized human fighters known as Megalo Boxers battle each other for boxing supremacy.","Anime Series, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/OdNvZeDY1ruodyH51XsJKWgQIc.jpg,['neutral'],[]
Midnight Diner,"A scarred man operates a midnight diner in the backstreets of Shinjuku. No one knows his name or his story, but his customers each bring him theirs.","International TV Shows, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/pePgRBbwyQrUS3ZZuI6qnI0oME8.jpg,['neutral'],[]
Mirai,"Unhappy after his new baby sister displaces him, four-year-old Kun begins meeting people and pets from his family's history in their unique house.","Action & Adventure, Anime Features, Children & Family Movies",Movie,https://image.tmdb.org/t/p/w500/dMbH4Uij9gwi0NqLCFatjl28SrG.jpg,['sadness'],"['Bittersweet', 'Melancholic']"
My Shy Boss,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV Show,https://image.tmdb.org/t/p/w500/eYVvEsoS9Cbfxau8AW9GJNUmGNG.jpg,['neutral'],[]
Revolutionary Love,A third-generation chaebol falls in love with a woman who opens his eyes to the struggles of the working class and inspires him to make a difference.,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV Show,https://image.tmdb.org/t/p/w500/zIe4h9F5X7oF0gOTgjBS0C1leSo.jpg,['neutral'],[]
The Disaster Artist,"Aspiring actor Greg moves to Los Angeles with his strange friend Tommy, then agrees to star in his movie. Things start weird and get a lot weirder.","Comedies, Dramas",Movie,https://image.tmdb.org/t/p/w500/2HuLGiyH0TPYxnCvYHAxc8K738o.jpg,['approval'],[]
The Stolen,A well-to-do British woman must venture into New Zealand's wild and dangerous unknown when her baby son is kidnapped and held for ransom.,Dramas,Movie,https://image.tmdb.org/t/p/w500/lOdfW2FXC6Em4b9IL4TXkzhpSsK.jpg,['neutral'],[]
High Strung Free Dance,A choreographer casts a contemporary dancer and a gifted pianist for a highly anticipated Broadway show as internal drama tries to steal the spotlight.,"Dramas, Music & Musicals, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/dOdWTC9gvdQLhN1eYpiy77c2QEQ.jpg,['neutral'],[]
Freej Al Taibeen,"Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.","Comedies, Dramas, International Movies",Movie,https://image.tmdb.org/t/p/w500/eNSbZqgGh4Sgkm1jTVlAIWNVBqj.jpg,"['disappointment', 'neutral']",['Bittersweet']
Kenny Sebastian: The Most Interesting Person in the Room,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",Stand-Up Comedy,Movie,https://image.tmdb.org/t/p/w500/6OL1wR6YonDJDoLWrcviDfyZtOy.jpg,['neutral'],[]
Space Force,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency â Space Force â ready for lift-off.,TV Comedies,TV Show,https://image.tmdb.org/t/p/w500/zgu3p4NvisS8CI68cUfBKbvAvu8.jpg,['neutral'],[]
The Other,"When a graduate student elopes with a plucky reporter, his wealthy, possessive mother connives with his militant brother-in-law to wreck the union.","Dramas, International Movies, Romantic Movies",Movie,https://image.tmdb.org/t/p/w500/1kMnZxgszV84LrGwENNeb0ncbw1.jpg,['neutral'],[]
"Can't Cope, Won't Cope","In Dublin, friends Aisling and Danielle must come to terms with adulthood when their millennial hijinks and hangovers begin to wear off.","TV Comedies, TV Dramas",TV Show,https://image.tmdb.org/t/p/w500/9yd2W8zmaiv0ugmi9XdXki8tPYm.jpg,"['realization', 'neutral']",[]
Dorohedoro,"Amnesiac Caiman seeks to undo his lizard head curse by killing the sorcerer responsible, with his friend Nikaido's help. In the Hole, that's a threat.","Anime Series, International TV Shows",TV Show,https://image.tmdb.org/t/p/w500/8rt0bfnS2ZeSCaewgkKV4oYIH29.jpg,['neutral'],[]
Grandmother's Farm,A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party.,"Comedies, Horror Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/kxkQMcOdnTa53V8LjIzmKRheZzB.jpg,['neutral'],[]
Grandmother's Farm Part 2,"After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah â and right into more terror.","Comedies, Horror Movies, International Movies",Movie,https://image.tmdb.org/t/p/w500/uY0x9Scrnl8kfv6JyCQ4gKMMoXD.jpg,"['fear', 'neutral']",[]
Intuition,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida"".","Dramas, International Movies, Thrillers",Movie,https://image.tmdb.org/t/p/w500/22GoHnnAHen16oENJYh8JoQzTSo.jpg,['neutral'],[]
