title,type,genre,tags,mood_tag,mood_tag_standard,source
Have a Good Trip: Adventures in Psychedelics,Movie,Documentaries,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary.",Happy,Happy,Netflix
Trial By Media,TV Show,"Crime TV Shows, Docuseries","In this true crime docuseries, some of the most dramatic trials of all time are examined with an emphasis on how the media may have impacted verdicts.",neutral,Neutral,Netflix
John Henry,Movie,"Dramas, Thrillers",A reformed LA gang member upends his peaceful new life when he steps in to protect two young immigrants from his violent former leader.,disgust,Stressed,Netflix
18 Presents,Movie,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,neutral,Neutral,Netflix
Dead to Me,TV Show,"TV Comedies, TV Dramas",A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.,neutral,Neutral,Netflix
Restaurants on the Edge,TV Show,"International TV Shows, Reality TV",Three food and design experts travel the world to revive failing restaurants by connecting them to the local culture beyond their gorgeous views.,neutral,Neutral,Netflix
The Eddy,TV Show,"International TV Shows, TV Dramas","The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.",anger,Stressed,Netflix
The Hollow,TV Show,"Kids' TV, TV Thrillers","Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",neutral,Neutral,Netflix
Aerials,Movie,"International Movies, Sci-Fi & Fantasy",Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.,neutral,Neutral,Netflix
In Paradox,Movie,"International Movies, Sci-Fi & Fantasy, Thrillers","On the run from assailants, a man desperately seeks to take control of his strange memories before they consume his life â and sanity.",fear,Anxious,Netflix
Scissor Seven,TV Show,"International TV Shows, TV Action & Adventure, TV Comedies","Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions.",neutral,Neutral,Netflix
Si Doel the Movie,Movie,"Dramas, International Movies","Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",Happy,Happy,Netflix
Becoming,Movie,Documentaries,"Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""",neutral,Neutral,Netflix
"SÃ­, Mi Amor",Movie,"Comedies, International Movies, Romantic Movies",A blindsided boyfriend must prove his fidelity when his girlfriend spontaneously dumps him after suspecting him of cheating.,disgust,Stressed,Netflix
Jerry Seinfeld: 23 Hours To Kill,Movie,Stand-Up Comedy,"Jerry Seinfeld takes the stage in New York and tackles talking vs. texting, bad buffets vs. so-called ""great"" restaurants and the magic of Pop Tarts.",neutral,Neutral,Netflix
Arctic Dogs,Movie,"Children & Family Movies, Comedies","When he stumbles upon evil Otto Von Walrus's scheme to melt the Arctic, ambitious delivery fox Swifty assembles a ragtag crew to protect the planet.",fear,Anxious,Netflix
Luccas Neto em: Acampamento de FÃ©rias 2,Movie,"Children & Family Movies, Comedies, Music & Musicals","Luccas and his band of buddies make music and mischief at a new summer camp, where they face off with talented rivals and their tough coach.",neutral,Neutral,Netflix
One Day: Justice Delivered,Movie,"Dramas, International Movies","A former judge in retirement finds and punishes the culprits he could not convict in court, spurring a crime branch officer to investigate.",disgust,Stressed,Netflix
Almost Happy,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Comedies","SebastiÃ¡n is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.",Happy,Happy,Netflix
Bennett's War,Movie,"Dramas, Sports Movies",A medically discharged soldier attempts an improbable return to motorcycle racing to win enough prize money to save his father's farm.,neutral,Neutral,Netflix
Death Can Wait,Movie,"Comedies, International Movies","After learning he may die soon, a modest accountant pulls off a shady money scheme and heads to Europe, where he's faced with a life-or-death situation.",Sad,Sad,Netflix
Hangar 1: The UFO Files,TV Show,Docuseries,Researchers add context and clarity to UFO mysteries and conspiracy theories as they unpack clues in a trove of files covering decades of sightings.,neutral,Neutral,Netflix
Hoarders,TV Show,Reality TV,"This reality series enters the worlds of compulsive hoarders, whose addiction to acquisition overwhelms not just their homes but also their lives.",neutral,Neutral,Netflix
Lady Driver,Movie,"Dramas, Sports Movies","When a rebellious teen searches for her unknown roots, it leads her to the sport of dirt track racing and a discovery she didn't expect.",neutral,Neutral,Netflix
Mike Birbiglia: My Girlfriend's Boyfriend,Movie,Stand-Up Comedy,"On this painfully honest but hilarious journey, Birbiglia struggles to find reason in an area where it may be impossible to find: love.",Happy,Happy,Netflix
Roped,Movie,"Children & Family Movies, Dramas, Romantic Movies",A star cowboy in a traveling rodeo gets thrown off course when he falls in love with the daughter of a tough-minded town councilman.,Happy,Happy,Netflix
The Stand at Paxton County,Movie,"Dramas, Independent Movies, Thrillers",A military veteran comes home to find her father harassed by a sheriff intent on confiscating the livestock on their ranch under shady pretenses.,disgust,Stressed,Netflix
The Universe: Ancient Mysteries Solved,TV Show,"Docuseries, Science & Nature TV","From astronomical events to shapes and patterns in space, strange and wonderful phenomena are explored with modern science in this series.",surprise,Excited,Netflix
WWII in HD,TV Show,Docuseries,Rare color footage interwoven with firsthand interviews and diary entries bring to life the global sweep of World War II via those who were there.,neutral,Neutral,Netflix
All Day and a Night,Movie,"Dramas, Independent Movies","While serving life in prison, a young man looks back at the people, the circumstances and the system that set him on the path toward his crime.",disgust,Stressed,Netflix
Cracked Up: The Darrell Hammond Story,Movie,Documentaries,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult.",fear,Anxious,Netflix
Get In,Movie,"International Movies, Thrillers","When he returns from vacation and finds his home occupied by squatters, a family man is caught in a conflict that escalates to terrifying heights.",fear,Anxious,Netflix
Go! Go! Cory Carson: The Chrissy,Movie,Children & Family Movies,"The Carson kids win a talent show with a dance that Cory created. But when ""The Chrissy"" catches on, his little sister gets all of the attention.",neutral,Neutral,Netflix
Hollywood,TV Show,TV Dramas,"In post-World War II Hollywood, an ambitious group of aspiring actors and filmmakers will do almost anything to make their showbiz dreams come true.",neutral,Neutral,Netflix
I Am Divine,Movie,"Documentaries, LGBTQ Movies",This captivating documentary explores the life and work of filmmaker John Waters's muse: internationally celebrated drag superstar Divine.,joy,Happy,Netflix
Madagascar: Escape 2 Africa,Movie,"Children & Family Movies, Comedies","A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals.",sadness,Sad,Netflix
Masha and the Bear,TV Show,Kids' TV,"Lively little Masha lives near the forest, where she has many wonderful adventures with her best friend, a bear who used to be in the circus.",Excited,Excited,Netflix
Material,Movie,"Comedies, Dramas, International Movies","A dutiful son must hide his pursuit of stand-up comedy from his staunch father, who expects him to inherit his store and uphold their Muslim beliefs.",Happy,Happy,Netflix
Medici: Masters of Florence,TV Show,"International TV Shows, TV Dramas","After his father's murder, banking heir Cosimo Medici battles opponents of his artistic, economic and political visions for 15th-century Florence.",anger,Stressed,Netflix
Monthly Girls' Nozaki Kun,TV Show,"Anime Series, Romantic TV Shows",Art imitates life when Chiyo discovers her crush is a famous artist who wants to use their budding relationship as inspiration for his romantic manga.,Happy,Happy,Netflix
Mrs. Serial Killer,Movie,"International Movies, Thrillers","When a doctor gets jailed for a string of shocking murders, his loyal wife sets out to commit a copycat crime to prove his innocence.",disgust,Stressed,Netflix
Oh Yuck,TV Show,"Kids' TV, TV Comedies","Using a concoction of cartoons, comedy and live action, Dr. Yuck and his eccentric lab mates investigate the science behind the planet's ickiest things.",Happy,Happy,Netflix
Psycho,Movie,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murdererâs disturbing psyche emerges.",Tense,Stressed,Netflix
Reckoning,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries","When a local teen is murdered in their quiet, suburban community, two fathers intent on protecting their families must contend with their inner demons.",disgust,Stressed,Netflix
The Half Of It,Movie,"Comedies, Dramas, LGBTQ Movies","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend â or fall for his crush.",Happy,Happy,Netflix
The Heartbreak Kid,Movie,"Comedies, Romantic Movies","Ben Stiller stars as a newlywed who marries a dreamy woman, only to learn on their honeymoon that she's a total nightmare.",fear,Anxious,Netflix
Thomas & Friends: Marvelous Machinery: A New Arrival,Movie,Children & Family Movies,"With a technology fair in Sodor, Thomas and the Steam Team tackle a flurry of tasks â but can they complete their deliveries before the grand opening?",neutral,Neutral,Netflix
Thomas & Friends: Marvelous Machinery: World of Tomorrow,Movie,Children & Family Movies,"Amid special demonstrations in Sodor, Thomas and the gang worry they'll be replaced by new inventions until a mission shows how useful they really are.",fear,Anxious,Netflix
Thomas & Friends: Thomas and the Royal Engine,Movie,Children & Family Movies,An invitation from the Queen sends Thomas and the crew to London as they weave through delays and debacles while racing to a royal celebration.,joy,Happy,Netflix
What a Girl Wants,Movie,"Children & Family Movies, Comedies","In search of the father she's never met, the daughter of a bohemian American woman heads to Europe and finds that her dad is an uptight politician.",neutral,Neutral,Netflix
Dangerous Lies,Movie,Thrillers,"A broke caregiver unexpectedly inherits her patient's estate, but dark secrets swirl around her newfound wealth, tangling her in deceit and danger.",Tense,Stressed,Netflix
DRIFTING DRAGONS,TV Show,"Anime Series, International TV Shows","Dragons are on the menu as the crew of the airship Quin Zaza sets out on a hunt. If they fail, empty stomachs will be the least of their worries.",neutral,Neutral,Netflix
El seÃ±or de los Cielos,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Only Aurelio Casillas can fill Pablo Escobar's shoes and become Mexico's biggest drug trafficker of the '90s.,neutral,Neutral,Netflix
Good Witch,TV Show,"TV Dramas, TV Sci-Fi & Fantasy","Raising her daughter in a small town, an enchanting widow with magical powers provokes the interest and exasperation of a skeptical big-city doctor.",anger,Stressed,Netflix
Rich in Love,Movie,"Comedies, International Movies, Romantic Movies","Rich kid Teto is determined to prove himself to Paula, his love interest. But when he tells her he grew up poor, the lie spins out of control.",Happy,Happy,Netflix
The Forest of Love: Deep Cut,TV Show,"Crime TV Shows, International TV Shows, TV Dramas",Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.,disgust,Stressed,Netflix
The Victims' Game,TV Show,"Crime TV Shows, International TV Shows, TV Dramas","After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.",fear,Anxious,Netflix
A Secret Love,Movie,"Documentaries, LGBTQ Movies","Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges.",Happy,Happy,Netflix
EkÅi Elmalar,Movie,"Dramas, International Movies","In an eastern Turkish town, suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths.",disgust,Stressed,Netflix
Extracurricular,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows",A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,disgust,Stressed,Netflix
Love Is War,Movie,"Comedies, Dramas, International Movies",An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.,neutral,Neutral,Netflix
Murder to Mercy: The Cyntoia Brown Story,Movie,Documentaries,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",sadness,Sad,Netflix
Nadiyaâs Time to Eat,TV Show,"British TV Shows, International TV Shows, Reality TV","On this cooking show, Nadiya Hussain serves up delicious shortcuts, vital ingredients and fast favorites â perfect for today's time-strapped families.",neutral,Neutral,Netflix
R.K.Nagar,Movie,"Action & Adventure, Comedies, Dramas",Things look up for a Chennai man struggling to make ends meet when he falls for a politicianâs daughter â until he gets entangled in a murder case.,disgust,Stressed,Netflix
Tjovitjo,TV Show,"International TV Shows, TV Dramas","Amidst poverty and struggle, a hardened pantsula dance leader enters a dark space and searches for redemption and salvation in his community.",Tense,Stressed,Netflix
Beynelmilel,Movie,"Comedies, Dramas, International Movies","When a local musician and his band are forced to perform in honor of a right-wing coup, his daughter schemes to make their music subversive instead.",disgust,Stressed,Netflix
Bir Baba Hindu,Movie,"Action & Adventure, Comedies, International Movies",A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.,fear,Anxious,Netflix
Boushkash,Movie,"Comedies, International Movies",A former goalkeeper-turned-talent scout embarks on a mischievous adventure to recruit players for Egyptian football clubs.,Excited,Excited,Netflix
Cinar Agaci,Movie,"Comedies, Dramas, International Movies","A matriarch and her grandson forge a special bond during family picnics every two months, until her health causes a conflict among the relatives.",disgust,Stressed,Netflix
GÃ¶rÃ¼mce,Movie,"Comedies, International Movies, Music & Musicals","When his jealous sister plots to wreck his engagement, a young man does everything he can to protect his betrothed from her devious schemes.",disgust,Stressed,Netflix
Ä°stanbul KÄ±rmÄ±zÄ±sÄ±,Movie,"Dramas, Independent Movies, International Movies","Upon his return to Istanbul, an expat writer-editor finds himself stranded inside a web of tangled relationships after his filmmaker friend vanishes.",sadness,Sad,Netflix
KÃ¼Ã§Ã¼k Esnaf,Movie,"Comedies, International Movies","As an honest locksmith scrambles to pay his late father's hefty debt to the mafia, he crosses paths with a woman in similar trouble and falls for her.",disgust,Stressed,Netflix
Lembi 8 Giga,Movie,"Comedies, International Movies","To upgrade his life, a simple man fakes his credentials as a lawyer when sudden extraordinary abilities give him the talent to thrive.",neutral,Neutral,Netflix
Neseli Hayat,Movie,"Comedies, International Movies","Burdened by troubles and caught between cultures, Riza takes a job as a mall Santa and finds that real life may not be so different from make-believe.",sadness,Sad,Netflix
Organize Isler,Movie,"Action & Adventure, Comedies, International Movies","A gang leader recruits a suicidal Superman impersonator, while a woman driving a hot car linked to the gang plots revenge against them and their hero.",disgust,Stressed,Netflix
The Reliant,Movie,"Dramas, Faith & Spirituality","When a town suffers an economic collapse, social unrest forces a family to seek refuge in the wilderness as bitter outlaws threaten their survival.",Tense,Stressed,Netflix
We'll Be Right Back After The Break,Movie,"Action & Adventure, Comedies, International Movies","While fighting a child custody battle against his father-in-law, a taxi driver loses his memory when his son is kidnapped.",disgust,Stressed,Netflix
5Gang,Movie,"Comedies, International Movies","To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter â until he gets kidnapped.",disgust,Stressed,Netflix
Love Aaj Kal,Movie,"Dramas, International Movies, Romantic Movies","When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.",Happy,Happy,Netflix
The Lift Boy,Movie,"Dramas, Independent Movies, International Movies","When a lazy young man replaces his father as the elevator operator of a posh residential complex, what he sees as menial work soon takes on new meaning.",disgust,Stressed,Netflix
"Coronavirus, Explained",TV Show,"Docuseries, Science & Nature TV","In 2020, the world changed. This topical series examines the coronavirus pandemic, the efforts to combat it and ways to manage its mental health toll.",neutral,Neutral,Netflix
The Last Kingdom,TV Show,"British TV Shows, International TV Shows, TV Action & Adventure","As Alfred the Great defends his kingdom from Norse invaders, Uhtred â born a Saxon but raised by Vikings â seeks to claim his ancestral birthright.",anger,Stressed,Netflix
Bheeshma,Movie,"Action & Adventure, Comedies, International Movies","Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",Happy,Happy,Netflix
Bittersweet,Movie,"Comedies, Dramas, International Movies","After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",sadness,Sad,Netflix
My Secret Romance,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows",A nutritionist gets entangled in a series of misunderstandings with her new chaebol boss â who turns out to be someone she slept with in the past.,disgust,Stressed,Netflix
No Direction Home: Bob Dylan,Movie,"Documentaries, Music & Musicals","Featuring rare concert footage and interviews with legendary musicians, this documentary traces Bob Dylan's life story and extraordinary career.",neutral,Neutral,Netflix
She Made Me a Criminal,Movie,"Comedies, International Movies","In order to get her trust fund money from her wealthy but miserly father, a woman enlists a naive young man to help fake her own kidnapping.",disgust,Stressed,Netflix
The Artist,Movie,"Comedies, Dramas, Independent Movies","Winner of five Oscars, this black-and-white silent film follows the romance between a silent-era legend on a downward spiral and a rising starlet.",neutral,Neutral,Netflix
The Dealer,Movie,"Action & Adventure, International Movies","Separated by distance and circumstance, two bitter rivals cross paths when the perils of the drug trade unexpectedly unite them.",anger,Stressed,Netflix
The International Player,Movie,"Dramas, International Movies, Sports Movies","A footballer for a local club aspires to join the big leagues then gets his shot at going pro, fueling his team's rise to victory.",neutral,Neutral,Netflix
The Promise,Movie,"Dramas, International Movies","When his powerful crime czar boss kills the man he considered a mentor, a young gangster on the rise goes to war in order to get revenge.",anger,Stressed,Netflix
Ø§ÙÙ ÙØ¨Ø±ÙÙ,Movie,"Comedies, Dramas, International Movies","On his wedding day, an arrogant, greedy accountant experiences a series of calamities that keep replaying as he lives the same day over and over again.",neutral,Neutral,Netflix
Ø¯ÙØ¹Ø© Ø§ÙÙØ§ÙØ±Ø©,TV Show,"International TV Shows, TV Dramas","A group of women leaves Kuwait to attend university in Cairo, embarking on personal journeys filled with romance and self-discovery.",joy,Happy,Netflix
After Life,TV Show,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",Sad,Sad,Netflix
DreamWorks Spooky Stories: Volume 2,TV Show,"Kids' TV, TV Comedies","The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom.",Tense,Stressed,Netflix
Kolaiyuthir Kaalam,Movie,"International Movies, Thrillers",The speech-and-hearing-impaired heiress of a palatial mansion must rely on basic instincts when a masked invader is determined to kill her.,fear,Anxious,Netflix
Love 101,TV Show,"International TV Shows, TV Dramas, Teen TV Shows","While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves.",Happy,Happy,Netflix
"Yours Sincerely, Kanan Gill",Movie,Stand-Up Comedy,"Revisiting life goals set in a letter written as a teen to his future self, comedian Kanan Gill reports back on if he's lived up to his own expectations.",neutral,Neutral,Netflix
Ghost in the Shell: SAC_2045,TV Show,"Anime Series, Crime TV Shows, International TV Shows","After a global financial crisis, the world is engulfed in an AI-driven ""sustainable war."" It's up to Section 9 to counter new forms of cyber threats.",neutral,Neutral,Netflix
My Stupid Boss,Movie,"Comedies, International Movies","After moving to Kuala Lumpur, Diana lands a secretary job at an ironworks owned by her husband's old college friend, possibly the world's worst boss.",disgust,Stressed,Netflix
My Stupid Boss 2,Movie,"Comedies, International Movies","Having driven away many of his employees, Bossman and three of his long-suffering workers try to find cheap labor in Vietnam but find trouble instead.",sadness,Sad,Netflix
The House of Flowers,TV Show,"International TV Shows, Spanish-Language TV Shows, TV Comedies","In this dark comedy, a wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.",Tense,Stressed,Netflix
This Earth of Mankind,Movie,"Dramas, International Movies",A Javanese royal and half-Dutch woman fall in love as Indonesia rises to independence from colonial rule. Based on Pramoedya Ananta Toer's famed novel.,Happy,Happy,Netflix
Time to Hunt,Movie,"International Movies, Thrillers","Wanting to leave their dystopian world behind for a faraway paradise, three outlaws plot a money heist â and draw the attention of a vicious killer.",anger,Stressed,Netflix
Absurd Planet,TV Show,"Docuseries, Science & Nature TV, TV Comedies","A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earthâs most incredible animals.",Happy,Happy,Netflix
Circus of Books,Movie,"Documentaries, LGBTQ Movies","For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",disgust,Stressed,Netflix
The Plagues of Breslau,Movie,"International Movies, Thrillers","After a body is found sewn inside a cow hide, a WrocÅaw detective discovers a killer is recreating an 18th-century ""plague"" of criminal punishments.",disgust,Stressed,Netflix
The Set Up,Movie,"Dramas, International Movies",Manipulation and personal vendettas collide when a con artist hires a young woman to assist with his scheme to marry a wealthy heiress.,disgust,Stressed,Netflix
The Silence of the Marsh,Movie,"International Movies, Thrillers","While researching corruption for his new book, a successful crime novelist shades the line between fiction and reality.",disgust,Stressed,Netflix
The Willoughbys,Movie,"Children & Family Movies, Comedies",Four siblings with horribly selfish parents hatch a plan to get rid of them for good and form a perfectly imperfect family of their own.,anger,Stressed,Netflix
Win the Wilderness,TV Show,"British TV Shows, International TV Shows, Reality TV","Six couples compete to prove they've got the survival skills to win the deed to an extraordinary home deep in the vast, rugged wilderness of Alaska.",Tense,Stressed,Netflix
Bleach,TV Show,"Anime Series, International TV Shows","After teenager Ichigo Kurosaki acquires superpowers from wounded soul reaper Rukia Kuchiki, the two of them join forces to round up lost souls.",neutral,Neutral,Netflix
Middleditch & Schwartz,TV Show,TV Comedies,Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.,Happy,Happy,Netflix
Nicky Jam: El Ganador,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Follow reggaeton artist Nicky Jam's struggles to overcome drug addiction and rise to international success in this dramatization of his life story.,neutral,Neutral,Netflix
Cooked with Cannabis,TV Show,Reality TV,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, THC infusions and CBD sauces.",neutral,Neutral,Netflix
The Midnight Gospel,TV Show,TV Comedies,"Traversing trippy worlds inside his universe simulator, a space caster explores existential questions about life, death and everything in between.",Sad,Sad,Netflix
Varane Avashyamund,Movie,"Comedies, Dramas, International Movies","At an apartment complex, the lives of a mother, a daughter seeking an arranged marriage, a military retiree and a young man become intertwined.",disgust,Stressed,Netflix
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),TV Show,Kids' TV,This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.,joy,Happy,Netflix
The King: Eternal Monarch,TV Show,"Crime TV Shows, International TV Shows, Korean TV Shows","A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.",neutral,Neutral,Netflix
#blackAF,TV Show,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",Happy,Happy,Netflix
BabamÄ±n Ceketi,Movie,"Comedies, International Movies","Facing pressure to marry immediately, an unemployed man must find a way to pay for a wedding by any means necessary.",sadness,Sad,Netflix
Earth and Blood,Movie,"Dramas, International Movies, Thrillers",A sawmill owner and his teenage daughter become tangled in a deadly feud when a drug dealer stashes stolen cocaine on their remote property.,anger,Stressed,Netflix
El DragÃ³n: Return of a Warrior,TV Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","To replace his grandfather as head of a cartel, a Tokyo financier returns to his home country of Mexico, where he must battle two rivals for control.",neutral,Neutral,Netflix
Hasmukh,TV Show,"Crime TV Shows, International TV Shows, TV Comedies","A timid, small-town comedian's long-awaited big break takes a dark turn when he realizes committing murder is the only way to keep his onstage mojo.",Tense,Stressed,Netflix
Rising High,Movie,"Dramas, International Movies","Ready to do anything to get rich, a young man upends the Berlin property market with his shady pal, till the good times threaten to destroy it all.",fear,Anxious,Netflix
Sergio,Movie,"Dramas, Independent Movies","Passions, ideals and bitter realities collide as charismatic UN diplomat Sergio Vieira de Mello becomes trapped in a life-threatening situation in Iraq.",anger,Stressed,Netflix
The Legacy of the Bones,Movie,"International Movies, Thrillers","A year after solving a series of murders, detective Amaia is faced with a related mystery in the BaztÃ¡n Valley that ends up hitting very close to home.",Anxious,Anxious,Netflix
AlelÃ­,Movie,"Comedies, Dramas, International Movies","Mourning their father's death, a dysfunctional trio of siblings must face selling their beloved childhood beach house â and dealing with each other.",Happy,Happy,Netflix
Fary : Hexagone,TV Show,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","French comedy phenomÂ Fary puts a playful spin on questions of identity, culture and more in the first half of an epic two-part stand-up special.",Happy,Happy,Netflix
Fauda,TV Show,"Crime TV Shows, International TV Shows, TV Action & Adventure","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion.",disgust,Stressed,Netflix
"Hail, Caesar!",Movie,Comedies,"When a major star is kidnapped from a movie set, a hard-charging but overwhelmed studio boss sets out to find the actor and save the film.",fear,Anxious,Netflix
Jem and the Holograms,Movie,"Children & Family Movies, Dramas, Music & Musicals","After becoming an overnight star via the internet, teenage rocker Jem and her sisters journey to LA, where fame, fun and a family mystery await.",Anxious,Anxious,Netflix
MaurÃ­cio Meirelles: Generating Chaos,Movie,Stand-Up Comedy,"Comedian MaurÃ­cio Meirelles explores his chaotic mind with scathingly funny views on family, prejudices, turtles and more in this stand-up special.",Happy,Happy,Netflix
Puerto Ricans in Paris,Movie,Comedies,New York police detectives Luis and Eddie experience culture shock and adventure when they head to Paris to track down a stolen couture handbag.,Excited,Excited,Netflix
Stunt School,Movie,"Children & Family Movies, Comedies, International Movies",An aspiring actress is admitted to a prestigious conservatory but must pay her tuition by working as a performer for an unusual company.,disgust,Stressed,Netflix
For the Broken Hearted,Movie,"Dramas, International Movies, Romantic Movies","In three interwoven stories, love ends up in limbo as romantic partners navigate bliss, loss, failures and feelings while trying to make happiness last.",Happy,Happy,Netflix
Mischief,Movie,"Comedies, Dramas, Independent Movies","Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",disgust,Stressed,Netflix
The Innocence Files,TV Show,"Crime TV Shows, Docuseries","The Innocence Project unravels missteps and deceit in a series of wrongful convictions, exposing the injustice inflicted on victims and the accused.",disgust,Stressed,Netflix
World Famous Lover,Movie,"Dramas, International Movies, Romantic Movies","When his frustrated girlfriend decides to leave him, a struggling writer gets down to work on stories of romance he hopes will win her back.",anger,Stressed,Netflix
Chris D'Elia: No Pain,Movie,Stand-Up Comedy,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,neutral,Neutral,Netflix
New Money,Movie,"Dramas, International Movies",An aspiring fashion designer's life is transformed after she discovers sheâs the heiress of a billion-dollar empire left by her estranged father.,joy,Happy,Netflix
Moms at War,Movie,"Comedies, Dramas, International Movies","Two fierce mothers become rivals when a school contest forces their kids, both model students, to compete against one another to be the best in class.",neutral,Neutral,Netflix
Surviving R. Kelly: The Impact,Movie,Documentaries,"From public protests to viral movements, the aftermath of the R. Kelly docuseries is explored in this special featuring journalists and experts.",neutral,Neutral,Netflix
Code 8,Movie,"Action & Adventure, Independent Movies, International Movies","In a city where super-powered people are ostracized, an earnest day laborer considers using his outlawed abilities for money to save his sick mother.",disgust,Stressed,Netflix
Brews Brothers,TV Show,TV Comedies,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.",neutral,Neutral,Netflix
LA Originals,Movie,"Documentaries, International Movies, Music & Musicals","Photographer Estevan Oriol and artist Mister Cartoon turned their Chicano roots into gritty art, impacting street culture, hip hop and beyond.",neutral,Neutral,Netflix
Love Wedding Repeat,Movie,"Comedies, International Movies, Romantic Movies","Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.",neutral,Neutral,Netflix
School Life,Movie,"Comedies, Dramas, International Movies","In one of the poorest areas of Paris, a school counselor devotes herself to working with disadvantaged students, while facing challenges of her own.",disgust,Stressed,Netflix
The Main Event,Movie,"Children & Family Movies, Comedies, Sports Movies","Using special powers from a magical mask, a young WWE fan causes chaos when he enters a wrestling competition and fights an intimidating rival.",fear,Anxious,Netflix
The Trial,TV Show,"Crime TV Shows, International TV Shows, TV Dramas","The murder of a teen girl impacts a public prosecutor linked to the victim, a lawyer seeking a career-making case and a suspect who says she's innocent.",disgust,Stressed,Netflix
Tigertail,Movie,Dramas,A man reflects on the lost love of his youth and his long-ago journey from Taiwan to America as he begins to reconnect with his estranged daughter.,Happy,Happy,Netflix
