model_version_id,model_id,version_label,model_type,created_date,activation_date,retirement_date,lifecycle_phase,model_status,management_status,current_risk_tier,expected_revalidation_date,last_review_id
MV00233,M0093,1.0,Vendor,2025-08-27,2025-10-28,,Active,Active - In use,Review required,Low,2026-01-08,RV000295
MV00234,M0093,2.0,Statistical,2025-01-09,2025-05-07,,Active,Active - In use,Review required,Medium,2026-08-19,RV000296
MV00235,M0093,3.3,AI/ML,2022-09-21,2022-10-10,,Active,Active - In use,Review required,Low,2025-12-25,RV000298
MV00236,M0093,4.1,AI/ML,2023-07-27,2023-11-08,,Active,Active - In use,Review required,Medium,2025-12-20,RV000299
MV00237,M0094,1.3,Rule-based,2023-04-02,,,Development,Not Yet Active,Review required,Medium,2025-10-31,
MV00238,M0094,2.3,Rule-based,2024-11-24,,,Development,Not Yet Active,Review required,Medium,2026-01-04,
MV00239,M0095,1.3,Vendor,2024-04-05,2024-04-27,,Active,Active - In use,Review not required,Medium,2025-08-31,
MV00240,M0095,2.1,Statistical,2023-09-23,,,Development,Not Yet Active,Review not required,Low,2026-09-10,
MV00241,M0095,3.1,Statistical,2025-10-21,2025-11-18,,Active,Active - In use,Review required,Medium,2025-12-09,RV000300
MV00242,M0096,1.2,Vendor,2019-09-30,2019-11-04,,Active,Active - In use,Review required,Medium,2025-10-30,RV000301
MV00243,M0096,2.2,Statistical,2020-12-03,2021-03-20,,Active,Active - In use,Review required,Low,2026-10-19,RV000302
MV00244,M0096,3.1,AI/ML,2019-08-10,2019-11-20,,Active,Active - In use,Review required,Low,2025-10-03,RV000303
MV00245,M0096,4.0,Statistical,2018-11-14,2019-03-08,,Active,Active - In use,Review required,Low,2026-01-24,RV000306
MV00246,M0097,1.2,Statistical,2017-05-23,2017-08-20,,Active,Active - In use,Review not required,High,2026-01-22,
MV00247,M0097,2.0,AI/ML,2016-10-15,2017-01-01,,Active,Active - In use,Review required,High,2026-01-17,RV000308
MV00248,M0097,3.0,AI/ML,2022-05-07,2022-08-29,,Active,Active - In use,Review required,High,2026-09-19,RV000310
MV00249,M0097,4.2,Statistical,2025-11-09,2026-01-03,,Active,Active - In use,Review required,High,2026-06-27,RV000311
MV00250,M0098,1.1,Statistical,2021-12-14,2022-03-21,,Active,Active - In use,Review required,High,2026-03-24,RV000313
MV00251,M0098,2.0,Statistical,2020-07-05,2020-07-25,,Active,Active - In use,Review required,Medium,2026-10-24,RV000314
MV00252,M0099,1.1,Rule-based,2023-07-11,2023-10-17,,Active,Active - In use,Review required,High,2026-11-28,RV000316
MV00253,M0100,1.1,AI/ML,2024-05-20,2024-06-01,,Active,Active - In use,Review not required,Medium,2026-05-28,
MV00254,M0101,1.0,AI/ML,2020-03-23,2020-04-22,,Active,Active - In use,Review required,High,2025-09-30,RV000320
MV00255,M0101,2.2,Statistical,2017-06-21,2017-07-13,,Active,Active - In use,Review required,Medium,2026-01-09,RV000325
MV00256,M0101,3.3,Statistical,2018-12-14,2019-03-21,,Active,Active - In use,Review not required,Medium,2026-01-19,
MV00257,M0101,4.2,Statistical,2025-10-26,2025-12-06,,Active,Active - In use,Review not required,Medium,2025-09-11,
MV00258,M0102,1.1,AI/ML,2024-08-17,2024-11-26,,Active,Active - In use,Review required,Low,2026-02-01,RV000326
MV00259,M0102,2.0,Vendor,2022-07-11,2022-08-29,,Active,Active - In use,Review required,Low,2025-10-16,RV000328
MV00260,M0102,3.3,Statistical,2023-01-28,2023-02-10,,Active,Active - In use,Review required,Medium,2025-11-30,RV000331
MV00261,M0103,1.1,Vendor,2025-05-05,2025-06-05,,Active,Active - In use,Review required,Medium,2026-01-25,RV000332
MV00262,M0104,1.3,Statistical,2023-11-15,2023-12-03,,Active,Active - In use,Review required,Medium,2026-05-07,RV000334
MV00263,M0104,2.1,Statistical,2025-06-26,2025-09-24,,Active,Active - In use,Review required,Medium,2026-01-13,RV000335
MV00264,M0104,3.2,AI/ML,2023-06-25,2023-08-24,,Active,Active - In use,Review required,Low,2026-01-03,RV000338
MV00265,M0105,1.3,Statistical,2022-02-24,2022-03-28,,Active,Active - In use,Review not required,Medium,2026-01-07,
MV00266,M0105,2.3,AI/ML,2025-01-31,2025-05-21,,Active,Active - In use,Review required,Medium,2026-06-15,RV000340
MV00267,M0106,1.0,Statistical,2025-07-29,2025-10-06,,Active,Active - In use,Review required,Medium,2026-01-27,RV000342
MV00268,M0106,2.1,Statistical,2024-07-10,,,Development,Not Yet Active,Review not required,Medium,2025-11-11,
MV00269,M0107,1.3,Statistical,2020-02-22,2020-04-29,,Active,Active - In use,Review required,Medium,2026-01-20,RV000343
MV00270,M0107,2.3,AI/ML,2025-05-30,2025-06-13,,Active,Active - In use,Review not required,Medium,2025-09-01,
MV00271,M0107,3.0,AI/ML,2020-07-16,2020-11-01,,Active,Active - In use,Review not required,Medium,2025-12-28,
MV00272,M0107,4.0,Statistical,2025-08-18,2025-11-18,,Active,Active - In use,Review not required,Low,2025-09-16,
MV00273,M0108,1.0,Statistical,2024-05-30,2024-06-21,,Active,Active - In use,Review not required,High,2025-12-29,
MV00274,M0108,2.1,Statistical,2025-08-19,,,Development,Not Yet Active,Review required,High,2026-08-30,
MV00275,M0108,3.1,Statistical,2025-05-08,2025-05-21,,Active,Active - In use,Review required,High,2026-01-12,RV000344
MV00276,M0108,4.1,Statistical,2025-05-11,2025-06-29,,Active,Active - In use,Review required,High,2025-10-29,RV000346
MV00277,M0109,1.2,AI/ML,2021-06-20,2021-08-07,,Active,Active - In use,Review required,Medium,2025-12-06,RV000350
MV00278,M0109,2.3,AI/ML,2023-09-07,2023-10-16,,Active,Active - In use,Review not required,Medium,2025-08-31,
MV00279,M0109,3.1,Vendor,2024-09-06,2024-12-09,,Active,Active - In use,Review not required,Medium,2026-01-09,
MV00280,M0109,4.1,AI/ML,2023-08-12,2023-11-05,,Active,Active - In use,Review required,Medium,2026-01-09,RV000352
MV00281,M0110,1.1,AI/ML,2021-03-05,2021-04-25,,Active,Active - In use,Review required,High,2025-11-16,RV000353
MV00282,M0111,1.3,Statistical,2025-03-13,2025-05-12,,Active,Active - In use,Review not required,Medium,2026-12-08,
MV00283,M0111,2.2,AI/ML,2023-06-24,2023-09-21,,Active,Active - In use,Review required,Medium,2025-11-19,RV000356
MV00284,M0111,3.2,AI/ML,2019-12-06,2020-02-19,,Active,Active - In use,Review required,Medium,2026-01-06,RV000358
MV00285,M0112,1.1,Statistical,2022-12-05,2023-01-20,,Active,Active - In use,Review required,Low,2025-11-24,RV000362
MV00286,M0112,2.3,AI/ML,2022-01-09,2022-04-16,,Active,Active - In use,Review required,Low,2026-01-13,RV000363
MV00287,M0113,1.1,Statistical,2021-12-19,2022-01-02,,Active,Active - In use,Review required,Medium,2025-12-30,RV000365
MV00288,M0114,1.0,AI/ML,2020-09-22,2021-01-09,,Active,Active - In use,Review required,High,2026-01-16,RV000366
MV00289,M0115,1.3,Statistical,2022-08-14,2022-11-26,,Active,Active - In use,Review required,High,2026-06-17,RV000367
MV00290,M0115,2.0,AI/ML,2024-07-04,2024-11-01,,Active,Active - In use,Review required,Medium,2025-11-26,RV000368
MV00291,M0116,1.1,Statistical,2023-08-05,2023-11-23,,Active,Active - In use,Review required,High,2026-05-27,RV000370
MV00292,M0116,2.1,AI/ML,2024-08-16,2024-11-24,,Active,Active - In use,Review required,High,2025-11-04,RV000371
MV00293,M0116,3.0,Rule-based,2023-07-28,2023-11-11,,Active,Active - In use,Review required,High,2026-09-09,RV000372
MV00294,M0116,4.1,Rule-based,2024-03-18,2024-04-15,,Active,Active - In use,Review required,Medium,2025-09-11,RV000376
MV00295,M0117,1.3,Statistical,2021-10-27,2022-02-09,,Active,Active - In use,Review required,Medium,2025-12-30,RV000378
MV00296,M0118,1.2,AI/ML,2022-07-11,2022-10-30,,Active,Active - In use,Review required,Low,2025-10-04,RV000379
MV00297,M0118,2.2,AI/ML,2023-12-25,2024-04-19,,Active,Active - In use,Review required,Low,2025-11-05,RV000380
MV00298,M0118,3.3,Rule-based,2024-02-05,2024-05-12,,Active,Active - In use,Review required,Low,2025-09-05,RV000385
MV00299,M0118,4.1,Statistical,2023-09-16,2023-10-07,,Active,Active - In use,Review required,Low,2026-01-23,RV000386
MV00300,M0119,1.0,Vendor,2021-07-23,2021-10-21,,Active,Active - In use,Review required,Medium,2026-01-01,RV000387
MV00301,M0119,2.0,Statistical,2017-02-15,2017-03-24,,Active,Active - In use,Review required,High,2025-10-11,RV000390
MV00302,M0120,1.3,Vendor,2025-01-10,2025-02-05,,Active,Active - In use,Review required,Medium,2025-10-11,RV000392
